标题,来源,时间,问题,回答
河南理科,ci*** (河南),2013-06-25 10:18,高一本线3分报考是否有希望？若有一本可选什么专业？谢谢老师。,您好，2012年我校在河南省录取理工类考生最低分高于一本控制线9分，具体以我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/作为参考。
报考咨询,he*** (天津),2013-06-25 09:51,请问老师，我是天津考生，过一本线17分，进入贵校的食品科学与工程专业希望大吗；看贵校今年招生工程管理与会计，这是贵校的新增专业吗，另外贵校食品科学专业就业率怎样，具体就业方向,"请拨打咨询电话0451—82190346,82192351,82190904."
咨询,27*** (黑龙江),2013-06-25 09:42,黑龙江理科考生高考成绩489分，能进贵校二本一般专业么？有多大把握？,2012年理科二批录取最低分为492分，详情请登录http://zhaosheng.nefu.edu.cn/lnzl/submit.asp查询，谢谢
请问，黑龙江考生，打了490分，能报考贵校二本吗，,gy*** (黑龙江),2013-06-25 09:36,同上,2012年理科二批录取最低分为492分，文科二批录取最低分为502分，详情请登录http://zhaosheng.nefu.edu.cn/lnzl/submit.asp查询，谢谢
咨询,gm*** (江西),2013-06-25 09:21,老师好，我是一名江西文科考生，今年高考553分，全省排名2107，请问录机会多大？贵校的重点专业是什么？我能选专业吗？,"由于你提供的信息不全，请拨打咨询电话0451—82190346,82192351,82190904."
河北美术生,li*** (河北),2013-06-25 09:03,你好，我文化383，联考236.能走看联考成绩的上你们学校么？谢谢,我校艺术类录取原则为专业课过省统考合格线，按文化课择优录取。我校去年艺术类文史在河北省录取最低分数线为490（文化课）。
文科考生录取,11*** (河北),2013-06-24 16:30,老师您好我是河北的文科考生高一本21分有希望录取吗谢谢您,"请拨打咨询电话0451—82190346,82192351,82190904."
黑龙江,yx*** (黑龙江),2013-06-24 14:50,你好啊我是黑龙江理科考生今年高考517，想报你们学学校如果服从调剂会被退档吗,如果被投档到我校，且已服从调剂，高考体检符合规定要求，将不做退档处理。
志愿咨询,hj*** (浙江),2013-06-24 13:59,亲爱的招生老师，你好！我是浙江兰溪一中学生，今年只考了618分，只超了1分，但渴望进入贵校学习，因此特向您咨询：今年会小年吗？我有可能会被录取吗？谢谢您！6月24日浙江某生,2012年我校在浙江录取的理工一表最低分为599分，2012年的浙江理科一本线为593分，高出6分，详情请登录http://zhaosheng.nefu.edu.cn/lnzl/查询，谢谢！
河南招生组,gu*** (河南),2013-06-14 10:38,老师您好！我是河南艺术类考生，预估在520分左右，有些问题想请教招生老师。请问，我怎样联系到河南招生组老师，方便的话请告知联系方式,你想联系河南省招生办老师，请你在网上查找。
2013年河南美术生文化课分数线,wa***06mei (河南),2013-06-14 10:25,我是河南的美术生，估计500分左右，上贵校的艺术设计专业希望大吗？谢谢,请参考我校招生信息网站上的历年分数，http://zhaosheng.nefu.edu.cn/
咨询,08***3 (黑龙江),2013-06-14 10:19,您好，我是黑龙江理科考生，超一本线多少分能上贵校。,今年黑龙江省实行平行志愿，建议你报考。http://zhaosheng.nefu.edu.cn/
录取分析,xa*** (陕西),2013-06-13 15:49,我是陕西的理工类考生，估515分左右，报考贵校的会计学专业，请分析一下录取的可能性有多大？今年贵校在陕的招生计划在那可以查到？,请参考我校历年分数，招生计划查询我校招生信息http://zhaosheng.nefu.edu.cn/
我是二零一三年黑龙江考生,86*** (黑龙江),2013-06-13 15:16,我美术省联考打202分，文化课能打330多点，请问我有希望上贵学校吗,我校美术类专业课要求180分以上，文化成绩详细查看我校历年分数，http://zhaosheng.nefu.edu.cn/
风景园林专业,du*** (辽宁),2013-06-13 15:13,风景园林专业是国家重点建设专业吗？研究生有公费留学的机会吗？毕业后就业前景怎样？,详细资料请登录我校招生信息网站查询，研究生情况请咨询研究生院。http://zhaosheng.nefu.edu.cn/
咨询,ch***3 (黑龙江),2013-05-09 15:30,今年哈市取消三表，增加二表名额吗,我校没有三表
内蒙文科,ba***gzhichao (内蒙古),2013-05-09 10:27,请问老师，今年在内蒙招文科的都有什么专业？各专业计划在内蒙招几个人？内蒙文科多少分能上贵校？谢谢,2013年招生计划目前还没出来，稍后登陆我校招生信息网站查看计划和历年分数。
你好,li*** (河南),2012-06-29 16:52,我是河南理科生，545能上你校吗,2011年我校在河南省招收理工类考生录取最低分超当年河南省一本控制线5分，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
咨询,da*** (山东),2012-06-29 15:48,老师，我是山东一理科考生，590分有多大把握被贵校录取,2011年我校在山东省招收理工类考生录取最低分超当年山东省一本控制线5分，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
报考,pe*** (河南),2012-06-29 15:44,老师您好，我是名河南考生，今年分数高出一本线15分。很想报考贵校的“森林资源类英才班”请问把握大不大？谢谢,2011年我校在河南省录取的森林资源类（英才班）的最低分为597分，最高分为603分，平均分为599分，今年录取工作尚未开始，无法预测。
咨询,zh***ga (河北),2012-06-29 14:55,您好，我是河北理科考生，高考分数超本省一批分数线18分，报考了贵校，有希望被贵校材料相关专业或土木工程录取吗？,关于您所感兴趣的几个专业在近几年录取的分数，您可以查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考
咨询,ty***g (山东),2012-06-29 14:37,山东理科596，填报贵校土木工程是否有把握,您可以查看我校招生信息网，历年资料：http://zhaosheng.nefu.edu.cn/lnzl/，作为参考。
农林加分吗？,71*** (河南),2012-06-29 14:33,你们校对于第一志愿报农林大学的考生加分吗？河南省说加分？是吗,我校不承认所加分数。
咨询,39*** (山东),2012-06-29 14:30,你好，我是山东济宁文科考生，589分，请问报考贵校是否有把握？,2011年我校在山东省招收文史类考生录取最低分超当年山东省一本控制线1分，其他年份详细资料请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
咨询录取,xm*** (湖南),2012-06-28 15:19,尊敬的老师，您好！我是湖南一名少数民族应届文科女考生，以高出湖南一本线档案分14分的成绩填报了贵校提前批志愿，请问被贵校录取的希望如何？谢谢！,我校在湖南省只对艺术类考生为提前批次，其他为一本，2011年我校在湖南省招收文史类考生录取最低分为当年湖南省一本控制线，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
志愿分级差,wh*** (山西),2012-06-28 14:44,你好，老师！请问你校有志愿分级差吗？,我校录取专业时，按照专业级差的方式录取，专业级差为3、1、0，即第一和第二专业志愿级差为3分、第二和第三专业志愿级差为1分，以后专业志愿无级差
报考,65***8 (河南),2012-06-28 14:38,我是河南考生，高考高出一本线13分，报考贵校有希望吗？,2011年我校在河南省招收的理工类考生录取最低分超当年河南省一本控制线5分，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
志愿级差,wh*** (山西),2012-06-28 14:36,你好，老师！请问你校友志愿级差吗？高出一本线50分，填在非第一志愿影响录取吗？,录取专业时，按照专业级差的方式录取，专业级差为3、1、0，即第一和第二专业志愿级差为3分、第二和第三专业志愿级差为1分，以后专业志愿无级差；根据考生报考情况而定，目前无法估测。
专业级差,ls*** (山西),2012-06-28 14:27,什么叫专业级差？,我校录取专业时，按照专业级差的方式录取，专业级差为3、1、0，即第一和第二专业志愿级差为3分、第二和第三专业志愿级差为1分，以后专业志愿无级差。
录取,li*** (广西),2012-06-28 14:27,广西考生550理科只高出一本22分报考贵校土木工程专业有希望吗？,2011年我校在广西省招收的土木工程专业的最低分为526分，超当年广西省一本控制线20分，其他年份的具体情况，请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
文科咨询,20***ri (河南),2012-06-28 14:20,您好！我是河南文科生，今年比一本线高10分，能否报考贵校？谢谢！,2011年我校在河南省招收文史类考生录取最低分超当年河南省一本控制线5分，其他年份具体情况请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
艺术文,qi***98 (山东),2012-06-28 13:11,山东美术省统考成绩217文化课404报考贵校有希望吗,请登录东北林业大学招生信息网：http://zhaosheng.nefu.edu.cn参考历年我校在山东的美术类录取分数的资料
报考,82*** (河南),2012-06-28 10:55,我是河南考生，今年考了541分，超一本线一分，能上贵校吗？能报哪些专业？,2011年我校在河南省招收的理工类考生录取最低分超当年河南省一本控制线5分，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
关于少数民族预科班,nm***63 (内蒙古),2012-06-28 10:13,老师您好！我是内蒙一考生，高考分数469恰好一本分数线（不算民族分10分）。可否将贵校近5年预科在内蒙最低分平均分数据告诉我！本人考取贵校预科班有多大可能？谢谢老师！,您可以查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
录取,ga***lf (山西),2012-06-28 10:12,我山西理科，高考成绩是529分，比一本线低1分，不知贵校是否能降分录取？,我校招收一本考生，不降分录取。
咨询,ha***l (山西),2012-06-28 10:01,请问老师，山西一本线530，成绩为537，排名为17258的考生有望报考贵校吗？,2011年我校在山西省招收理工类考生录取的最低分为当年山西省一本控制线，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
咨询,ha***l (山西),2012-06-28 09:59,请问老师，山西一本线530，成绩为537的考生有望报考贵校吗？,2011年我校在山西省招收理工类考生录取的最低分为当年山西省一本控制线，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
录取与专业,68*** (湖北),2012-06-28 09:44,您好，我是湖北文科考生，高出一本6分，请问可以报考贵校吗？报考什么专业比较保险？,2011年我校在湖北省招收文史类考生录取的最低分比当年湖北省一本控制线高2分，其他年份及专业分数请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
录取,ly*** (山西),2012-06-28 09:43,我是山西考生比一本线高6分能被贵校录取吗？？,2011年我校在山西省招收理工类考生录取的最低分为当年山西省一本控制线，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
山西文科咨询,zz***2123 (山西),2013-06-28 09:04,老师您好，我是山西文科考生，2013年高考成绩为521分，高一本线成绩14分，全省排名3100左右，想报考贵院能录取吗?专业有可选性吗？还有在问问贵校的住宿条件和伙食情况怎样？学习方面管理严格吗？我希望管理严格好，谢谢。,我校2012年在山西省录取文史类考生最低分高于当年一本控制线2分，你报考我校希望较大；具体专业参考我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/；关于在校具体情况查询我校相关部门网站：http://www.nefu.edu.cn/；我校学习管理非常严格，校风严谨。
录取咨询。,ch***hi (福建),2013-06-28 09:01,您好，我是福建文科考生，高考分数546，超本一线33分，省排名3481名。请问录取希望大吗？贵校是否设专业级差？,[你好，2012年我校在福建省录取文史类考生最低分高于当年省控线10分，你报考我校希望较大，具体请以我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/为参考；我校录取专业时，按照专业级差的方式录取，专业级差为3、1、0，即第一和第二专业志愿级差为3分、第二和第三专业志愿级差为1分，以后专业志愿无级差。
江苏美术生,dl***ldl (江苏),2013-06-27 15:48,我想咨询一下，去年录取的平均分的学生有江苏文化，专业排名么？,请参考我校招生信息网历年资料http://zhaosheng.nefu.edu.cn/
黑龙江理科考生,bi*** (黑龙江),2013-06-27 15:29,老师，我想问一下，我是黑龙江理科考生570分，高出重本线43分，有多大的希望进入该校，放在志愿第一个位置行吗，该校是否提档不退档？,黑龙江理科考生570分，进入我校希望较大，放在志愿第一个位置可以，服从调剂，提档不退档。
山西文科考生咨询,zz***2123 (山西),2013-06-27 15:22,老师您好，我是山西文科考生，成绩为超一本线13分，如果服从专业调剂，平行志愿会被贵校录取吗？谢谢。,我校去年山西文科超一本线2分，报考我校希望较大，服从专业调剂，提档不退档。
咨询专业,10***4 (黑龙江),2013-06-27 15:06,黑龙江理科考生509分报考贵校的工程管理农林经济管理经济统计学食品科学与工程环境科学材料化学有把握吗,请结合我校招生信息网上历年资料http://zhaosheng.nefu.edu.cn/
咨询,wa***ng1992 (河南),2013-06-27 14:45,河南理科508报考有希望吗？专业最差会是啥？,结合我校招生信息网站上的历年资料http://zhaosheng.nefu.edu.cn/
河南 文科艺术类考生 双过线,me*** (河南),2013-06-27 14:28,老师你好，文化课394，美术210，（少数民族）上贵校有希望吗？哪个专业希望更大些?谢谢,请登录东北林业大学招生信息网http://zhaosheng.nefu.edu.cn/lnzl/查询历年各专业分数。
老师，您好,zj*** (内蒙古),2013-06-27 14:19,老师您好！我是内蒙古考生，525分，排名8216，想报考计算机科学与技术专业，请问能否被录取？谢谢！,请登录东北林业大学招生信息网http://zhaosheng.nefu.edu.cn/lnzl/查询历年专业分数。
福建考生咨询,51*** (福建),2013-06-27 14:17,老师你好我是福建理科的一名考生..比本一切线高15分想报考贵校工程管理有希望么？,请登录东北林业大学招生信息网http://zhaosheng.nefu.edu.cn/lnzl/查询历年分数
咨询,sg*** (河北),2013-06-27 14:14,您好，我是河北省考生，请问高出理科本一18分报考贵校有希望吗？,请登录东北林业大学招生信息网http://zhaosheng.nefu.edu.cn/lnzl/查询历年分数
分数,ka***aici (黑龙江),2013-06-27 13:41,请问贵校二表最低多少分可进？,2012年我校在黑龙江录取的理工二批最低分为492分，高出2012年理科二批线67分，详情请登陆http://zhaosheng.nefu.edu.cn/lnzl/查询历年分数。
报考问题,93*** (河南),2013-06-27 13:23,您好，我是河南省理科考生，今年超出一本线29分，报考贵校有希望吗,您好，2012年我校在河南理科一批录取的最低分数线为549分，超出2012年河南理科一批控制线9分，详情请登录http://zhaosheng.nefu.edu.cn/lnzl/submit.asp查询历年分数，谢谢！
贵州理科,10***7 (贵州),2013-06-27 13:00,老师您好，我是贵州理科考生，分数高于一本线52分，请问贵校会录取第二志愿吗？,平行志愿不分第一志愿和第二志愿。
英语受限,di***ongjiang (黑龙江),2013-06-27 12:47,我是黑龙江的考生总分超一本线42分，但是我英语考了64分，想学土木工程，请问是否受限呢？,不受限
能否被录,hw*** (山东),2013-06-26 13:09,我是山东考生理科超30分能否报考贵校有把握吗,您好，2012年我校在山东省录取理工类考生最低分高于一本控制线12分，具体以我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/作为参考。
贵州,wm*** (贵州),2013-06-26 12:50,你好，我是贵州理科考生，考分550，高出一本线101，能不能被贵校录取？谢谢,我校去年在贵州录取理工类录取最低分数线为489，超过一批控制线19分。
求解答,94*** (河南),2013-06-26 12:05,老师你好，我是河南考生，今年比一本高15分，想上东林的土木工程，能被录取吗？,请登录东北林业大学招生信息网http://zhaosheng.nefu.edu.cn/查询历年资料。
咨询,lo***2013 (黑龙江),2013-06-26 11:14,您好，黑龙江考生508分能上二表电气专业吗？,电气工程及其自动化专业在黑龙江是一批次，可以考虑填报二批次。
山东二表,li***1 (山东),2013-06-26 10:59,我是山东考生，理工类，521分，想报考贵校二表，请问什么专业可选？,我校在山东省招生计划中只有一批。
美术专业录取问题,ji*** (河北),2013-06-26 10:41,河北考生，美术专业分219，文化分398，可以报考贵学校吗，我说的是控制线，不是说让你包录，本人实在是看不懂艺术类的录取规则，打扰一下，谢谢！,我校艺术类录取原则为专业课过省统考合格线，按文化课择优录取。我校去年艺术类文史在河北省录取最低分数线为490（文化课）。
咨询,15***68 (山西),2013-06-26 10:39,我是山西考生，高于文史一本线18分，可以上贵校吗?,请登录东北林业大学招生信息网http://zhaosheng.nefu.edu.cn/参考历年资料。
黑龙江文科,lj*** (黑龙江),2013-06-26 10:37,文科493能否报考贵校会计学专业,我校会计专业今年在二批A（合作办学）招生，去年录取最低分数线为508，超过控制线58分。
录取分析,li***3 (山西),2013-06-26 10:19,我是山西的考生，比一本分数线高出15分，报贵校被录取的机会有多大,请登录东北林业大学招生信息网http://zhaosheng.nefu.edu.cn/参考历年资料。
2013年黑龙江考生咨询,be*** (黑龙江),2013-06-26 09:45,请问贵校在黑龙江省还有三本吗？如果有分数线是多少？还有贵校的二本B分数线是多少？我考了371分能否上贵校的二本B？,您好，我校没有三本招生计划，谢谢！
求助。恳请老师详细告知,be*** (河南),2013-06-26 09:29,您好老师，我是河南考生，我今年的考分比河南一本线高22分（理工科）。1.林学2.高分子材料3.林产化工4.机械电子工程5.电气工程及其自动化6.电子信息工程。请问这6个专业那几个比较容易录取。还有服从调剂后，调剂的专业有多大相关度与志愿专业相比。还有调档后且服从调剂，还会被退档吗？谢谢老师。,您好，2012年我校在河南省录取理工类考生最低分高于一本控制线9分，具体以我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/作为参考；平行志愿专业服从调剂且体检合格，若被我校提档将不会退档。
报考,qi*** (陕西),2013-06-25 16:47,老师您好，我是陕西考生，比一本线高38分，如果报考风景园林专业，是否会被这个专业录取？,请登录东北林业大学招生信息网http://zhaosheng.nefu.edu.cn参考历年资料。
黑龙江文科2013,lj*** (黑龙江),2013-06-25 16:37,文科493报贵校会计机会大么,我校会计学专业在二批A（合作办学），文史类去年录取最低分为508，超过控制线58分。
紧急咨询,45*** (河北),2013-06-25 16:36,美术215文化421报考贵校能录取吗》？,我校艺术类录取原则为专业课过省统考合格线，按文化课择优录取。我校去年艺术类文史在河北省录取最低分数线为490（文化课）。
我是河北艺术类美术考生,se*** (河北),2013-06-25 16:21,老师，您好，我的美术省联考215分，文化课能418分，请问我有希望上贵学校吗？谢谢,我校艺术类录取原则为专业课过省统考合格线，按文化课择优录取。我校去年艺术类文史在河北省录取最低分数线为490（文化课），理工类录取最低分数线为474。
机械设计制造及其自动化要求的数学分数是多少？,tw*** (黑龙江),2013-06-24 12:26,RT,您好，我校此专业对数学没有单独的要求，谢谢！
三表,19*** (黑龙江),2013-06-24 11:48,您好，老师。今年贵校有三表吗？如果有，预计三表的最低招生分数是多少呢？谢谢。,您好，我校没有三表招生，谢谢！
咨询,dt*** (黑龙江),2013-06-24 09:53,我是本省考生，超一本29分，1.有希望进贵校吗？2.往年在黑龙江的录取线分差是多少？3.有希进电气工程自动化专业吗？谢谢,2012年我校在黑龙江录取的一表理科最低分数线为534分，2012年黑龙江省理科一表线为514分，2012年电气工程自动化分数为552分，详情请登陆http://zhaosheng.nefu.edu.cn/lnzl/submit.asp查询，谢谢！
综合资讯,yu*** (黑龙江),2013-06-24 09:45,您好，请问贵校是否投档就不退档？二表专业极差多少？可否转业？本省二表投档比例是100%吗？是否是分数清？谢谢,"您好，如果你已经投档到我校，且填服从调剂，高考体检符合规定，将不做退档处理，专业级差为3、1、0；投档比例为105%,我校是志愿清。"
咨询,57*** (黑龙江),2013-06-24 09:39,我是黑龙江理科考生，今年分数525，报考贵校二表A，专业服从调剂，被录取的可能性大吗？,我校2012年在黑龙江录取的理科最低二表分数线492分，高出黑龙江省二表线67分，若专业服从调剂，会增加录取的可能性，详情请登陆http://zhaosheng.nefu.edu.cn/查询各个专业分数，谢谢！
对贵校录取原则的理解,ga***ndong (山东),2013-06-19 14:23,贵校招生章程中第十六条有下列情况之一者，一般做退档处理：（二）低分末段的考生；如何理解？,你好，此条退档处理原则只针对传统志愿省份，对平行志愿省份退档原则主要采用招生章程中的第十六条中第一及第三点。如不清楚可咨询：0451-821903468219235182190904
咨询~~,ls*** (新疆),2013-06-19 13:42,老师您好，我是新疆理科考生，预估477分，请问有希望进入贵校吗?,你好，2012年新疆理工类控制线445分，我校理工类录取最低分463分。详细信息可登陆http://zhaosheng.nefu.edu.cn/查询。咨询电话：0451-821903468219235182190904。
咨询,89*** (黑龙江),2013-06-19 10:23,你好，贵校一本二本都招生，报一本后，也可以报二本吧，提档后服从调剂是不是就不退档了。有专业级差吗，谢谢。,[你好，填报高考志愿本科一批和二批可以同时填报我校。专业录取时，按专业级差方式录取，专业级差为3、1、0，即第一和第二专业志愿级差为3分，第二和第三专业志愿级差为1分，以后专业志愿无级差。所有专业志愿都无法满足的，如果服从专业调剂，将调剂到相应计划未满专业，如果不服从调剂，做退档处理。
咨询,hh***9 (黑龙江),2013-06-18 16:24,尊敬的老师您好：我是黑龙江考生高一本线30多分能否报你校，你校一次就业率是多少？专业考研率是多少？毕业就业方向都是哪里？如果进档服从专业调剂是否退档。谢谢,你好，高一本线30多分可以报考，我校一次就业率在90%左右，专业考研率不同专业不一样，毕业生就业方向详细请登录我校招生信息网站。如果如果进档服从专业调剂，体检合格不退档。
咨询,ha***o (山东),2013-06-18 15:25,老师您好，我是山东考生，篮球74分，山东省统一考试认可，在山师大考的，是否可以报考该校，报考该校的话文化课需要多少分理科生。,详细咨询0451-82192213
黑龙江理科,10***8777 (黑龙江),2013-06-18 14:39,如果服从调剂，2a平行是否退档？,服从调剂，体检符合要求，不退档。
黑龙江考生咨询,zx*** (黑龙江),2013-06-18 11:40,请问，我是黑龙江考生，现在预估分为490，上贵校二本专业怎么样？,目前，分数段还没出来，暂时还估计不出来，但我们欢迎你报考。
黑龙江理科女生,10***8777 (黑龙江),2013-06-17 13:20,请问，1、如果被你校提档，如果排在最后，服从调剂，能不能被你校退档？2、参考历年报考二本，压重本线的分，服从调剂录取可能性大吗？,服从调剂，体检符合要求，不退档。参考历年报考二本，压重本线的分，服从调剂录取可能性比较大。
我是2013辽宁考生,wo***gdbnongda (辽宁),2013-06-17 11:08,老师好，我想请问，我报考贵校，体检要求我都符合，如果调我的档案了，我服从调剂，还会被退档吗？谢谢,不退档
进档是否退档,ji***zhang (河南),2013-06-14 16:14,老师你好：我是新疆考生，想报咱学校，一本平行志愿，若提档同意调剂，是否不退档？,提档同意调剂，体检符合要求，不退档。
福建理科,20*** (福建),2013-06-28 11:50,老师，535分进电气工程专业把握大吗？,具体得根据今年考生报考情况，目前无法估计
关于转专业的问题,wa***en1995 (山东),2013-06-28 11:37,请问贵校转专业有什么条件？是否还需考虑高考成绩，或是只能从高分专业转向低分专业？,在校经第一学期学习且学习成绩优秀者，无不及格成绩、无处分的学生，可于第二学期第一周内申请在学校规定的同类专业范围内转专业。
急询！！！,jh*** (陕西),2013-06-28 11:35,贵校提档退档吗？有分数极差吗,专业服从调剂，提档不退档。专业级差为3、1、0，即第一和第二专业志愿级差为3分、第二和第三专业志愿级差为1分，以后专业志愿无级差。
云南理科,01*** (云南),2013-06-28 11:30,老师您好，我是云南考生，加了10分民族加分后高出一本线17分，是否有机会进入贵校？谢谢！,根据去年分数高出一本线17分有机会进入我校。
山西文科,fx*** (山西),2013-06-28 11:06,您好，我是山西文科考生，成绩为528，高出一本线21分，报考贵校是否稳妥?贵校招生投档比例是多少?服从专业调剂能保证提档不退档吗？进校后可以转专业吗？,[我校2012年在山西省录取文史类考生最低分高于当年一本控制线2分，你报考我校希望较大；根据考生具体模拟投档情况定投档比例；平行志愿，若被我校提档且服从调剂、体检合格，将不会退档；我校经一学期学习且学习成绩优秀者，且无不及格成绩、无处分的学生，可于第二学期第一周内申请在学校规定的同类专业范围内转专业。
报考咨询,jh*** (陕西),2013-06-28 11:05,我是陕西文科考生，正好一本线上，报考贵校机会大吗？过去两年贵校在陕西文科一本是否录满？能否转专业？,你好，2012年我校在陕西省录取文史类考生最低分与当年一本线一致，具体请以我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/为参考。
咨询,wp*** (山东),2013-06-28 10:35,老师您好，我是山东理科生，高考成绩高出一本30分，可否报考贵校？,你好，2012年我校在山东省录取理工类考生最低分高于当年省控线12分，你报考我校希望较大，具体请以我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/为参考。
山西理科,fe***5246088 (山西),2013-06-28 10:21,我山西理科505超一本12分，被贵校录取的可能性大吗？有专业级差吗？,[你好，2012年我校在山西省录取理工类考生最低分高于当年省控线8分，具体请以我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/为参考；我校录取专业时，按照专业级差的方式录取，专业级差为3、1、0，即第一和第二专业志愿级差为3分、第二和第三专业志愿级差为1分，以后专业志愿无级差。
咨询,zz***2123 (山西),2013-06-28 10:17,贵校的广告学是艺术类的吗？不是艺术类的文科生可以报吗、谢谢。,广告学不是艺术类专业，可以报考。
河南理科,dr*** (河南),2013-06-28 10:09,老师您好，我是河南考生，我的分数519，比一本线多14分，如果报考贵校有希望吗？,你好，2012年我校在河南省录取理工类考生最低分高于当年省控线9分，具体请以我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/为参考。
老师您好,wj*** (河南),2013-06-28 10:03,我是河南理科考生，今年超一本线17分，全省排名36000左右，请问可能被贵校录取吗？,你好，2012年我校在河南省录取理工类考生最低分高于当年省控线9分，具体请以我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/为参考。
转专业,cl***22 (山东),2013-06-28 09:57,我是山东文科考生，想报考贵校，请问入学后可以调专业吗？如可以入学多长时间可以转，转专业的条件是什么？,你好，我校经一学期学习且学习成绩优秀者，且无不及格成绩、无处分的学生，可于第二学期第一周内申请在学校规定的同类专业范围内转专业。
1分,si***ce (河南),2013-06-28 09:33,我是河南复读生高出一本线1分可以报考贵校么？是不是希望很小啊,你好，2012年我校在河南省录取理工类考生最低分高于省控线9分，具体参考我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/。
提档退档问题。,ly*** (山东),2013-06-28 09:28,山东考生，过一本20分，第一志愿报贵校，如果能被提档，专业服从调剂，会不会因名次排后被退档？这个很重要啊。,平行志愿，若被我校提档，且服从调剂、体检合格，将不会做退档处理。
双学位问题,wa***en1995 (山东),2013-06-28 09:18,请问贵校可以修双学位吗？若服从调剂，提档后会不会退档？,[我校鼓励学有余力的优秀学生自愿申请修读第二专业。学生在学好本专业的前提下，利用在校期间的课余时间，同时学习另一个专业。目前我校可供选择的第二专业有8个，分别是英语、计算机科学与技术、会计学、机械制造及其自动化、市场营销、法学、旅游管理专业和国际经济与贸易；平行志愿，若被我校提档且服从调剂、体检合格，将不会退档。
报考,df*** (河南),2012-06-29 13:17,我是河南考生545分能报考贵校吗谢谢万分期待,2011年我校在河南省招收理工类考生录取最低分超当年河南省一本控制线5分，其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
山西544报考,re***2 (山西),2012-06-29 13:06,老师您好，山西理科类高一本线14分，希望报考贵校电气工程及其自动化专业录取几率如何？谢谢！,关于您感兴趣的几个专业请查看我校招生信息网历年资料：http://zhaosheng.nefu.edu.cn/lnzl/，作为参考。
录取,56*** (湖南),2012-06-29 11:54,我是湖南文科考生今年超一本3分如果专业服从调剂可以被录取吗？,2011年我校在湖南省招收文史类考生录取最低分为当年湖南省一本控制线，其他年份详细情况请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
*-*,35*** (山西),2012-06-29 11:28,老师您好，我是山西考生，考了539，高出一本线九分，能上贵校一本吗？有无退档风险？,2011年我校在山西省招收的理工类考生录取的最低分为当年山西省一本控制线，其他年份的具体情况，请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
专业,wo*** (河南),2012-06-29 11:12,木材科学与工程是否属于林业工程类？心脏做过手术者是否可以报考？,木材科学与工程属于林业工程类；请查看我校本科招生章程：http://zhaosheng.nefu.edu.cn/article/show.asp?id=770&Page=2，东北林业大学招生体检要求部分，或者电话咨询：0451-82192351.82190904。
录取~！,56*** (湖南),2012-06-29 10:16,请问湖南的文科超一本线3分如果专业服从调剂请问被贵校录取的几率大不大？,2011年我校在湖南省招收文史类考生录取最低分与当年湖南省一本控制线一致。其他年份请查看我校招生信息网：http://zhaosheng.nefu.edu.cn/，历年资料，作为参考。
